season,episode,title,total_votes,rating
1,0,Avatar: The Last Airbender,1014,8.6
1,1,The Boy in the Iceberg,2983,8.1
1,2,The Avatar Returns,2654,8.3
1,3,The Southern Air Temple,2584,8.5
1,4,The Warriors of Kyoshi,2483,8.2
1,5,The King of Omashu,2490,8.2
1,6,Imprisoned,2397,8
1,7,"The Spirit World: Winter Solstice, Part 1",2345,8.2
1,8,"Avatar Roku: Winter Solstice, Part 2",2505,8.9
1,9,The Waterbending Scroll,2272,8
1,10,Jet,2328,7.8
1,11,The Great Divide,2402,7
1,12,The Storm,2613,9.1
1,13,The Blue Spirit,2651,9.1
1,14,The Fortuneteller,2225,7.9
1,15,Bato of the Water Tribe,2174,7.9
1,16,The Deserter,2215,8.5
1,17,The Northern Air Temple,2138,8
1,18,The Waterbending Master,2227,8.6
1,19,"The Siege of the North, Part 1",2797,9.4
1,20,"The Siege of the North, Part 2",1478,9.7
2,1,The Avatar State,2223,8.7
2,2,The Cave of Two Lovers,2200,8.2
2,3,Return to Omashu,2076,8.4
2,4,The Swamp,2128,7.7
2,5,Avatar Day,2130,7.5
2,6,The Blind Bandit,2529,9.2
2,7,Zuko Alone,3095,9.5
2,8,The Chase,2268,9
2,9,Bitter Work,2083,8.6
2,10,The Library,2188,8.8
2,11,The Desert,2165,8.8
2,12,The Serpent's Pass,2039,8.4
2,13,The Drill,2227,9
2,14,City of Walls and Secrets,2117,8.7
2,15,The Tales of Ba Sing Se,3186,9.3
2,16,Appa's Lost Days,2290,8.8
2,17,Lake Laogai,2229,9.1
2,18,The Earth King,2034,8.6
2,19,The Guru,2232,9.1
2,20,The Crossroads of Destiny,3131,9.6
3,1,The Awakening,2242,8.7
3,2,The Headband,2170,8.4
3,3,The Painted Lady,2129,8
3,4,Sokka's Master,2277,8.8
3,5,The Beach,2327,8.5
3,6,The Avatar and the Fire Lord,2757,9.5
3,7,The Runaway,2019,8.2
3,8,The Puppetmaster,2507,9.1
3,9,Nightmares and Daydreams,2155,7.8
3,10,"The Day of Black Sun, Part 1: The Invasion",2253,9.1
3,11,"The Day of Black Sun, Part 2: The Eclipse",2369,9.4
3,12,The Western Air Temple,2165,8.9
3,13,The Firebending Masters,2376,9.2
3,14,The Boiling Rock: Part 1,2117,8.7
3,15,"The Boiling Rock, Part 2",2277,9.2
3,16,The Southern Raiders,2218,8.9
3,17,The Ember Island Players,2380,8.6
3,18,"Sozin's Comet, Part 1: The Phoenix King",2518,9.1
3,19,"Sozin's Comet, Part 2: The Old Masters",2783,9.5
3,20,"Sozin's Comet, Part 3: Into the Inferno",3646,9.8
3,21,"Sozin's Comet, Part 4: Avatar Aang",5691,9.8
